,team,opponent,goals,total_score,total_count,rank_difference,home
20559,Russia,Moldova,2,815.0,6,-100.08333333333331,0
12387,Costa Rica,Chile,2,536.8333333333334,2,14.0,1
7027,Morocco,Namibia,3,616.4166666666666,8,-62.25,1
23034,Romania,Finland,2,1151.1666666666667,6,-31.5,1
10022,Mali,DR Congo,3,581.5,6,46.33333333333334,0
21149,New Caledonia,Samoa,7,105.83333333333331,0,-2.5,1
16599,Ivory Coast,Rwanda,5,0.0,9,-127.33333333333331,0
16918,Switzerland,Luxembourg,1,839.3333333333335,4,-102.16666666666669,0
2388,Hungary,Switzerland,0,33.4,7,45.6,0
11665,Uganda,Botswana,0,368.1818181818182,2,-4.0,1
4941,Zambia,Madagascar,2,572.9166666666666,7,-99.33333333333334,0
23529,Gambia,Benin,3,544.4166666666666,2,82.0,1
4246,Iran,Nigeria,0,0.0,9,-67.0,1
23705,Trinidad and Tobago,Wales,0,1230.625,4,76.625,0
13863,Croatia,England,1,1148.4166666666667,6,-2.416666666666666,1
5892,North Korea,Thailand,0,0.0,1,-60.66666666666666,0
22129,Trinidad and Tobago,Costa Rica,1,416.91666666666674,5,61.83333333333334,0
22358,Mexico,Panama,1,1042.5,9,-39.75,1
22115,Spain,North Macedonia,2,1182.8333333333333,9,-115.91666666666666,0
23951,Bulgaria,Kosovo,2,1391.25,5,-63.0,1
14254,El Salvador,Honduras,0,367.33333333333326,12,54.66666666666666,0
